COURSE,SECTION (CRN),TITLE (CREDIT HOURS),CAMPUS,COURSE TIME,INSTRUCTOR
COMP 7720,T01 (25893),Approximation Algorithms (3),M,"Sep 03 - Dec 08, 10:30-11:45 (MW)",Pakching Li
COMP 7860,T01 (25852),Advanced Processor Design and Implementation (3),M,"Sep 03 - Dec 08, 14:30-15:45 (MW)",David Gerhard
COMP 7920,T07 (26309),Human-AI Interaction (3),M,"Sep 03 - Dec 08, 13:00-14:15 (MW)",Houda El Mimouni
COMP 7944,A01 (25894),Advanced Data Mining (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Carson Leung
COMP 7950,T02 (25895),Natural Language Processing (3),M,"Sep 03 - Dec 08, 14:30-15:45 (TR)",Tristan Miller
COMP 7950,T05 (25896),Deep Learning (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Sadaf Salehkalaibar
MATH 1010,B01 (13153),Applied Finite Mathematics (0),M,"Sep 03 - Dec 08, 15:30-16:20 (F)",Quoc Hoang Vu
MATH 1010,B02 (15848),Applied Finite Mathematics (0),M,"Sep 03 - Dec 08, 15:30-16:20 (F)",Solomon Mensah
MATH 1010,B06 (25920),Applied Finite Mathematics (0),M,"Sep 03 - Dec 08, 15:30-16:20 (F)",Prabhjot Kaur
MATH 1010,B04 (15855),Applied Finite Mathematics (0),M,"Sep 03 - Dec 08, 15:30-16:20 (F)",Leanne Von Giese
MATH 1010,B05 (15856),Applied Finite Mathematics (0),M,"Sep 03 - Dec 08, 15:30-16:20 (F)",Keira Pasveer
MATH 1010,B03 (15849),Applied Finite Mathematics (0),M,"Sep 03 - Dec 08, 15:30-16:20 (F)",Ramin Hamzehei
MATH 1010,A02 (25919),Applied Finite Mathematics (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",Michelle Davidson
MATH 1010,D01 (22316),Applied Finite Mathematics (3),DE,Sep 03 - Dec 08,Farzaneh Jannat
MATH 1010,A01 (10395),Applied Finite Mathematics (3),M,"Sep 03 - Dec 08, 12:30-13:20 (MWF)",Xinli Wang
MATH 1018,B02 (23214),Pre-Calculus in Practice (0),M,"Sep 03 - Dec 08, 08:30-09:45 (TR)",Arash Arabkhalaj
MATH 1018,A01 (21253),Pre-Calculus in Practice (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Mahsa Nasrollahishirazi
MATH 1018,B04 (23281),Pre-Calculus in Practice (0),M,"Sep 03 - Dec 08, 08:30-09:45 (TR)",Adriana-Stefania Ciupeanu
MATH 1018,A02 (23279),Pre-Calculus in Practice (3),M,"Sep 03 - Dec 08, 12:30-13:20 (MWF)",Jesse Hulse
MATH 1018,B05 (21255),Pre-Calculus in Practice (0),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Adriana-Stefania Ciupeanu
MATH 1018,B03 (23280),Pre-Calculus in Practice (0),M,"Sep 03 - Dec 08, 08:30-09:45 (TR)",Darya Forooghi
MATH 1018,B06 (24416),Pre-Calculus in Practice (0),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Sueda Senturk Avci
MATH 1018,B01 (21254),Pre-Calculus in Practice (0),M,"Sep 03 - Dec 08, 08:30-09:45 (TR)",Jamiu Aliyu
MATH 1020,A01 (10400),Mathematics in Art (3),M,"Sep 03 - Dec 08, 13:00-14:15 (TR)",Angel Barría Comicheo
MATH 1020,A02 (13078),Mathematics in Art (3),M,"Sep 03 - Dec 08, 08:30-09:45 (TR)",Angel Barría Comicheo
MATH 1020,A03 (21957),Mathematics in Art (3),M,Sep 03 - Dec 08,Michelle Davidson
MATH 1020,A03 (21957),Mathematics in Art (3),M,"Sep 03 - Dec 08, 13:00-14:15 (TR)",Michelle Davidson
MATH 1080,B01 (17230),Fundamentals of Mathematical Reasoning (0),M,"Sep 03 - Dec 08, 08:30-09:20 (W)",Solomon Mensah
MATH 1080,A01 (17229),Fundamentals of Mathematical Reasoning (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Jamie De Jong
MATH 1080,B02 (17232),Fundamentals of Mathematical Reasoning (0),M,"Sep 03 - Dec 08, 11:30-12:20 (W)",Marzieh Roshani
MATH 1210,A02 (10405),Techniques of Classical and Linear Algebra (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Kirill Kopotun
MATH 1210,B10 (12574),Techniques of Classical and Linear Algebra (0),M,"Sep 03 - Dec 08, 10:30-11:20 (W)",Makenna Coldwell
MATH 1210,A03 (11776),Techniques of Classical and Linear Algebra (3),M,"Sep 03 - Dec 08, 12:30-13:20 (MWF)",Kirill Kopotun
MATH 1210,B12 (12576),Techniques of Classical and Linear Algebra (0),M,"Sep 03 - Dec 08, 16:30-17:20 (W)",Duy Kha Tran
MATH 1210,B02 (11865),Techniques of Classical and Linear Algebra (0),M,"Sep 03 - Dec 08, 10:30-11:20 (F)",Heet Shailesh Patel
MATH 1210,B01 (11522),Techniques of Classical and Linear Algebra (0),M,"Sep 03 - Dec 08, 08:30-09:20 (F)",Mohammad Amin Obohat
MATH 1210,B11 (12575),Techniques of Classical and Linear Algebra (0),M,"Sep 03 - Dec 08, 13:30-14:20 (W)",Liuqing Yang
MATH 1210,B13 (26613),Techniques of Classical and Linear Algebra (0),M,"Sep 03 - Dec 08, 14:30-15:20 (F)",Lei Shi
MATH 1210,A01 (11518),Techniques of Classical and Linear Algebra (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Nicholas Harland
MATH 1210,B07 (11866),Techniques of Classical and Linear Algebra (0),M,"Sep 03 - Dec 08, 10:30-11:20 (M)",Ramin Hamzehei
MATH 1210,B08 (11867),Techniques of Classical and Linear Algebra (0),M,"Sep 03 - Dec 08, 11:30-12:20 (M)",Ramin Hamzehei
MATH 1210,B04 (11521),Techniques of Classical and Linear Algebra (0),M,"Sep 03 - Dec 08, 14:30-15:20 (F)",Fatemeh Karimi
MATH 1210,B09 (12410),Techniques of Classical and Linear Algebra (0),M,"Sep 03 - Dec 08, 08:30-09:20 (W)",Makenna Coldwell
MATH 1210,B03 (11523),Techniques of Classical and Linear Algebra (0),M,"Sep 03 - Dec 08, 13:30-14:20 (F)",Smit Kamleshbhai Lad
MATH 1210,B06 (10800),Techniques of Classical and Linear Algebra (0),M,"Sep 03 - Dec 08, 08:30-09:20 (M)",Makenna Coldwell
MATH 1210,B05 (10799),Techniques of Classical and Linear Algebra (0),M,"Sep 03 - Dec 08, 08:30-09:20 (M)",Mohammad Amin Obohat
MATH 1230,B02 (13167),Differential Calculus (0),M,"Sep 03 - Dec 08, 10:30-11:20 (F)",Prabhjot Kaur
MATH 1230,A01 (13163),Differential Calculus (3),M,"Sep 03 - Dec 08, 12:30-13:20 (MWF)",Leo Butler
MATH 1230,B01 (13165),Differential Calculus (0),M,"Sep 03 - Dec 08, 08:30-09:20 (F)",Heet Shailesh Patel
MATH 1240,B06 (17224),Elementary Discrete Mathematics (0),M,"Sep 03 - Dec 08, 13:30-14:20 (W)",Maxwell Wiebe
MATH 1240,B08 (19632),Elementary Discrete Mathematics (0),M,"Sep 03 - Dec 08, 14:30-15:20 (W)",Maxwell Wiebe
MATH 1240,B13 (24728),Elementary Discrete Mathematics (0),M,"Sep 03 - Dec 08, 16:00-16:50 (R)",Gabriel Ogulu
MATH 1240,A04 (24727),Elementary Discrete Mathematics (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Andrii Arman
MATH 1240,B01 (13169),Elementary Discrete Mathematics (0),M,"Sep 03 - Dec 08, 11:30-12:20 (W)",Berkant Cünnük
MATH 1240,B11 (15861),Elementary Discrete Mathematics (0),M,"Sep 03 - Dec 08, 08:30-09:20 (R)",Joshua Beaudin
MATH 1240,B05 (15859),Elementary Discrete Mathematics (0),M,"Sep 03 - Dec 08, 13:30-14:20 (W)",Graeme Henrickson
MATH 1240,B02 (15858),Elementary Discrete Mathematics (0),M,"Sep 03 - Dec 08, 11:30-12:20 (W)",Graeme Henrickson
MATH 1240,B15 (24730),Elementary Discrete Mathematics (0),M,"Sep 03 - Dec 08, 16:00-16:50 (R)",Duy Kha Tran
MATH 1240,A03 (17228),Elementary Discrete Mathematics (3),M,"Sep 03 - Dec 08, 13:00-14:15 (TR)",Andrii Arman
MATH 1240,A01 (15857),Elementary Discrete Mathematics (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Karen Gunderson
MATH 1240,B03 (15860),Elementary Discrete Mathematics (0),M,"Sep 03 - Dec 08, 11:30-12:20 (W)",Marshall Kaatz
MATH 1240,B16 (24731),Elementary Discrete Mathematics (0),M,"Sep 03 - Dec 08, 16:00-16:50 (R)",Keira Pasveer
MATH 1240,A02 (13168),Elementary Discrete Mathematics (3),M,"Sep 03 - Dec 08, 08:30-09:20 (MWF)",Robert Craigen
MATH 1240,B09 (17225),Elementary Discrete Mathematics (0),M,"Sep 03 - Dec 08, 14:30-15:20 (W)",Joshua Beaudin
