COURSE,SECTION (CRN),TITLE (CREDIT HOURS),CAMPUS,COURSE TIME,INSTRUCTOR
ANSC 3510,K01 (10382),Feeds and Feeding (3),M,"Sep 03 - Dec 08, 12:30-13:20 (MWF)",Chengbo Yang
ANSC 3510,K01 (10382),Feeds and Feeding (3),M,"Sep 03 - Dec 08, 14:30-17:15 (F)",Chengbo Yang
ANSC 3520,K01 (10383),Animal Reproduction (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Nhamo Gozho
ANSC 3520,K01 (10383),Animal Reproduction (3),M,"Sep 03 - Dec 08, 14:30-17:15 (M)",Nhamo Gozho
ANSC 4240,A01 (20101),Mathematical Modeling of Biological Systems (3),M,"Sep 03 - Dec 08, 12:30-13:20 (MWF)",Marcos Cordeiro
ANSC 4280,A01 (22959),Applied Animal Genetics (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Nhamo Gozho
ANSC 4520,K01 (10384),Ruminant Production Systems-Meat (3),M,"Sep 03 - Dec 08, 14:30-17:15 (W)",Kimberly Ominski
ANSC 4520,K01 (10384),Ruminant Production Systems-Meat (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Kimberly Ominski
ANSC 4530,K01 (16624),Ruminant Production Systems-Milk (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",Melanie Buckler
ANSC 4530,K01 (16624),Ruminant Production Systems-Milk (3),M,"Sep 03 - Dec 08, 14:30-17:15 (W)",Melanie Buckler
ANSC 4550,K01 (10385),Avian Production Systems (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Anna Rogiewicz
ANSC 4550,K01 (10385),Avian Production Systems (3),M,"Sep 03 - Dec 08, 14:30-17:15 (R)",Anna Rogiewicz
ANSC 4570,A01 (21319),Advanced Applied Animal Nutrition (3),M,"Sep 03 - Dec 08, 14:30-17:15 (T)",Charles Nyachoti
ANSC 4570,A01 (21319),Advanced Applied Animal Nutrition (3),M,"Sep 03 - Dec 08, 13:00-14:15 (TR)",Charles Nyachoti
ANSC 4600,A01 (25324),Animal Microbiome and One Health (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Hooman Derakhshani
ANSC 7140,A01 (10983),M.Sc. Animal Science Seminar (Part A) (1.5),M,"Sep 03 - Dec 08, 10:00-11:15 (T)",Chengbo Yang
ANSC 7390,A01 (10984),Ph.D. Advanced Animal Science Seminar (Part A) (1.5),M,"Sep 03 - Dec 08, 10:00-11:15 (T)",Karmin O
ANSC 7510,T14 (26595),Special Topics: Contributions of Gut Microbiome to the Environmental Footprint (3),M,"Sep 03 - Dec 08, 10:30-12:00 (W)",Hooman Derakhshani
ANSC 7510,T14 (26595),Special Topics: Contributions of Gut Microbiome to the Environmental Footprint (3),M,Sep 03 - Dec 08,Hooman Derakhshani
ANSC 7510,T11 (24072),Special Topics: Animal Microbiome and One Health (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Hooman Derakhshani
ANSC 7520,T04 (25677),Special Topics in Animal Nutrition (Alternatives to Antibiotics) (3),M,Sep 03 - Dec 08,Chengbo Yang
ANSC 7520,T10 (26313),Special Topics in Precision Livestock Farming (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Gabriel Machado Dallago
ANSC 7520,T10 (26313),Special Topics in Precision Livestock Farming (3),M,"Sep 03 - Dec 08, 14:30-17:20 (M)",Gabriel Machado Dallago
ANSC 7540,A01 (21318),Advanced Applied Animal Nutrition (3),M,"Sep 03 - Dec 08, 13:00-14:15 (TR)",Charles Nyachoti
ANSC 7540,A01 (21318),Advanced Applied Animal Nutrition (3),M,"Sep 03 - Dec 08, 14:30-17:15 (T)",Charles Nyachoti
ANSC 7560,A01 (21317),Mathematical Modeling of Agricultural Systems (3),M,"Sep 03 - Dec 08, 12:30-13:20 (MWF)",Marcos Cordeiro
BIOE 2590,A01 (18593),Biology for Engineers (3),M,"Sep 03 - Dec 08, 14:30-15:45 (T)",David Levin
BIOE 2590,A01 (18593),Biology for Engineers (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",David Levin
BIOE 2790,A01 (16168),Fluid Mechanics (4),M,"Sep 03 - Dec 08, 14:30-17:15 (R)",Ella Morris
BIOE 2790,A01 (16168),Fluid Mechanics (4),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Ella Morris
BIOE 2900,A01 (14566),Biosystems Engineering Design 1 (4),M,"Sep 03 - Dec 08, 14:30-17:15 (W)",Daniel Mann
BIOE 2900,A01 (14566),Biosystems Engineering Design 1 (4),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Daniel Mann
BIOE 3110,A01 (24149),Heat Transfer in Biological Systems (4),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Fuji Jian
BIOE 3110,B01 (24150),Heat Transfer in Biological Systems (0),M,"Sep 03 - Dec 08, 08:30-09:45 (T)",Derek Inglis
BIOE 3400,A01 (15739),Design of Structural Components in Machines (4),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Kenton McCorquodale-Bauer
BIOE 3400,A01 (15739),Design of Structural Components in Machines (4),M,"Sep 03 - Dec 08, 14:30-17:15 (R)",Kenton McCorquodale-Bauer
BIOE 3530,A01 (10975),Engineering Fundamentals (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",Wen Zhong
BIOE 3530,A01 (10975),Engineering Fundamentals (3),M,"Sep 03 - Dec 08, 14:30-17:15 (T)",Wen Zhong
BIOE 3590,A01 (10976),Mechanics of Materials in Biosystems (4),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",Farhoud Delijani
BIOE 3590,B02 (14618),Mechanics of Materials in Biosystems (0),M,"Sep 03 - Dec 08, 16:00-17:15 (T)",Mashiur Rahman
BIOE 3590,B01 (14617),Mechanics of Materials in Biosystems (0),M,"Sep 03 - Dec 08, 14:30-15:45 (T)",Mashiur Rahman
BIOE 3900,A01 (14597),Biosystems Engineering Design 2 (4),M,"Sep 03 - Dec 08, 11:30-14:15 (TR)",Jason Morrison
BIOE 4240,A01 (11152),Graduation Project (3),M,"Sep 03 - Dec 08, 14:30-17:15 (M)",David Levin
BIOE 4390,A01 (26610),Unit Operations 1 (4),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Derek Inglis
BIOE 4390,B01 (26611),Unit Operations 1 (0),M,"Sep 03 - Dec 08, 14:30-17:20 (R)",Derek Inglis
BIOE 4414,A01 (26264),Imaging and Spectroscopy for Biosystems (4),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Mohammad Nadimi
BIOE 4414,A01 (26264),Imaging and Spectroscopy for Biosystems (4),M,"Sep 03 - Dec 08, 14:30-16:20 (W)",Mohammad Nadimi
BIOE 4600,K01 (26263),Design of Water Management Systems (4),M,"Sep 03 - Dec 08, 14:30-16:20 (W)",Ramanathan Sri Ranjan
BIOE 4600,K01 (26263),Design of Water Management Systems (4),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Ramanathan Sri Ranjan
BIOE 4900,A01 (14615),Biosystems Engineering Design 3 (4),M,"Sep 03 - Dec 08, 08:30-11:15 (TR)",Warren Blunt
BIOE 7140,K01 (26196),Advanced Irrigation and Drainage (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Ramanathan Sri Ranjan
BIOE 7140,K01 (26196),Advanced Irrigation and Drainage (3),M,"Sep 03 - Dec 08, 14:30-16:20 (W)",Ramanathan Sri Ranjan
BIOE 7200,A01 (26197),Bulk Solids Storage and Handling (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Fuji Jian
BIOE 7210,A01 (26623),Numerical Modelling of Biosystems (3),M,"Sep 03 - Dec 08, 14:00-15:00 (T)",Fuji Jian
BIOE 7240,T15 (26607),Nanotechnology in Biomaterials (3),M,"Sep 03 - Dec 08, 13:00-16:00 (M)",Wen Zhong
BIOE 7240,T23 (26708),Research Problems in Biomaterials (3),M,"Sep 03 - Dec 08, 13:30-16:30 (R)",Song Liu
BIOE 7240,T43 (25589),Advanced Imaging and Spectroscopy for Biosystems (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Mohammad Nadimi
BIOE 7270,A01 (14622),Advanced Seminar in Biosystems Engineering (3),M,"Sep 03 - Dec 08, 08:30-11:15 (T)",Wen Zhong
BIOE 7290,A01 (21285),Biosystems Engineering Seminar 1 (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",
BIOE 7370,A01 (24739),Engineering Properties of Fibres for Industrial Uses (3),M,"Sep 03 - Dec 08, 14:30-17:20 (M)",Mashiur Rahman
BIOE 7380,A01 (24738),Biomaterial Science and Engineering (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Song Liu
BIOE 7400,A01 (26199),Agro-Based Biocomposites for Industrial Applications (3),M,"Sep 03 - Dec 08, 14:30-17:20 (R)",Mashiur Rahman
ENTM 2050,A01 (10861),Introductory Entomology (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Jordan Bannerman
ENTM 2050,A01 (10861),Introductory Entomology (3),M,"Sep 03 - Dec 08, 14:30-17:25 (M)",Jordan Bannerman
ENTM 3190,D01 (12322),Introduction to Applied Entomology (3),DE,Sep 03 - Dec 08,Yang Liu
ENTM 4500,A01 (26208),Insect Taxonomy and Morphology (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Jason Gibbs
ENTM 4500,A01 (26208),Insect Taxonomy and Morphology (3),M,"Sep 03 - Dec 08, 14:30-17:25 (W)",Jason Gibbs
ENTM 7200,A01 (26212),Advanced Insect Taxonomy (3),M,"Sep 03 - Dec 08, 14:30-17:25 (W)",Jason Gibbs
ENTM 7200,A01 (26212),Advanced Insect Taxonomy (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Jason Gibbs
FOOD 1000,A01 (11201),Food Safety Today and Tomorrow (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Snehil Dua
FOOD 4010,K01 (10899),Food Process 2 (3),M,"Sep 03 - Dec 08, 14:30-17:25 (W)",Ruppagawa Gedara Thilini Nuwandhara Dissanayake
FOOD 4010,K01 (10899),Food Process 2 (3),M,"Sep 03 - Dec 08, 13:00-14:15 (TR)",Ruppagawa Gedara Thilini Nuwandhara Dissanayake
FOOD 4100,A01 (20411),Current Issues in Food and Human Nutrition (3),M,"Sep 03 - Dec 08, 12:00-13:15 (MW)",Liyana Nimalaratne
FOOD 4100,A02 (20412),Current Issues in Food and Human Nutrition (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Liyana Nimalaratne
FOOD 4150,B03 (10904),Food Microbiology 1 (0),M,"Sep 03 - Dec 08, 14:30-15:55 (T)",Claudia Narvaez Bravo
FOOD 4150,B02 (10903),Food Microbiology 1 (0),M,"Sep 03 - Dec 08, 16:00-17:25 (M)",Claudia Narvaez Bravo
FOOD 4150,B01 (10902),Food Microbiology 1 (0),M,"Sep 03 - Dec 08, 14:30-15:55 (M)",Claudia Narvaez Bravo
FOOD 4150,B05 (10906),Food Microbiology 1 (0),M,"Sep 03 - Dec 08, 10:00-11:25 (T)",Claudia Narvaez Bravo
FOOD 4150,B04 (10905),Food Microbiology 1 (0),M,"Sep 03 - Dec 08, 16:00-17:25 (T)",Claudia Narvaez Bravo
FOOD 4150,A01 (10901),Food Microbiology 1 (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Claudia Narvaez Bravo
FOOD 4160,B02 (11739),Food Analysis 1 (0),M,"Sep 03 - Dec 08, 14:30-17:25 (R)",Liyana Nimalaratne
FOOD 4160,A01 (10907),Food Analysis (3),M,"Sep 03 - Dec 08, 10:30-11:45 (MW)",Liyana Nimalaratne
FOOD 4160,B01 (11736),Food Analysis (0),M,"Sep 03 - Dec 08, 14:30-17:25 (W)",Liyana Nimalaratne
FOOD 4200,A01 (10908),Quality Control in Foods (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Snehil Dua
FOOD 4540,A01 (20394),Functional Foods and Nutraceuticals (3),M,"Sep 03 - Dec 08, 17:30-19:45 (T)",Sepideh Mahboobishoorjeh
FOOD 7160,A01 (26220),Food Carbohydrates (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Trust Beta
FOOD 7240,T20 (26466),Deep Dive into Grains (3),M,"Sep 03 - Dec 08, 13:00-15:00 (W)",Havva Koksel Ustundag
HNSC 1200,A02 (10675),Food: Facts and Fallacies (3),M,"Sep 03 - Dec 08, 18:00-20:45 (M)",Mohammed Moghadasian
HNSC 1200,A01 (10761),Food: Facts and Fallacies (3),M,"Sep 03 - Dec 08, 14:30-15:45 (TR)",Mohammed Moghadasian
HNSC 1200,D01 (18963),Food: Facts and Fallacies (3),DE,Sep 03 - Dec 08,Kristin Hildahl-Shawn
HNSC 1210,A02 (10825),Nutrition for Health and Changing Lifestyles (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Mohammed Moghadasian
HNSC 1210,A01 (10819),Nutrition for Health and Changing Lifestyles (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",N Eskin
HNSC 1210,D01 (11347),Nutrition for Health and Changing Lifestyles (3),DE,Sep 03 - Dec 08,Kristin Hildahl-Shawn
HNSC 2000,B05 (23981),Research Methods and Presentation (0),M,"Nov 19 - Nov 19, 14:30-15:20 (W)",Ruth Boachie
HNSC 2000,B04 (23980),Research Methods and Presentation (0),M,"Oct 22 - Oct 22, 13:30-14:20 (W)",Ruth Boachie
HNSC 2000,B02 (23978),Research Methods and Presentation (0),M,"Oct 20 - Oct 20, 15:30-16:20 (M)",Ruth Boachie
HNSC 2000,B02 (23978),Research Methods and Presentation (0),M,"Nov 24 - Nov 24, 15:30-16:20 (M)",Ruth Boachie
HNSC 2000,B02 (23978),Research Methods and Presentation (0),M,"Sep 22 - Sep 22, 15:30-16:20 (M)",Ruth Boachie
HNSC 2000,B04 (23980),Research Methods and Presentation (0),M,"Sep 24 - Sep 24, 13:30-14:20 (W)",Ruth Boachie
HNSC 2000,B01 (23977),Research Methods and Presentation (0),M,"Nov 24 - Nov 24, 14:30-15:20 (M)",Ruth Boachie
HNSC 2000,B08 (23984),Research Methods and Presentation (0),M,"Oct 24 - Oct 24, 13:30-14:20 (F)",Ruth Boachie
HNSC 2000,B01 (23977),Research Methods and Presentation (0),M,"Sep 22 - Sep 22, 14:30-15:20 (M)",Ruth Boachie
HNSC 2000,B01 (23977),Research Methods and Presentation (0),M,"Oct 20 - Oct 20, 14:30-15:20 (M)",Ruth Boachie
HNSC 2000,B04 (23980),Research Methods and Presentation (0),M,"Nov 26 - Nov 26, 13:30-14:20 (W)",Ruth Boachie
HNSC 2000,A01 (23976),Research Methods and Presentation (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Ruth Boachie
HNSC 2000,B08 (23984),Research Methods and Presentation (0),M,"Nov 21 - Nov 21, 13:30-14:20 (F)",Ruth Boachie
HNSC 2000,B08 (23984),Research Methods and Presentation (0),M,"Sep 26 - Sep 26, 13:30-14:20 (F)",Ruth Boachie
HNSC 2000,B05 (23981),Research Methods and Presentation (0),M,"Oct 22 - Oct 22, 14:30-15:20 (W)",Ruth Boachie
HNSC 2000,B05 (23981),Research Methods and Presentation (0),M,"Sep 24 - Sep 24, 14:30-15:20 (W)",Ruth Boachie
HNSC 2130,A01 (10832),Nutrition Through the Life Cycle (3),M,"Sep 03 - Dec 08, 08:30-09:20 (MWF)",Mohammed Moghadasian
HNSC 2160,B03 (10835),Principles of Food Preparation and Preservation (0),M,"Sep 03 - Dec 08, 08:30-11:25 (R)",Snehil Dua
HNSC 2160,B01 (10837),Principles of Food Preparation and Preservation (0),M,"Sep 03 - Dec 08, 14:30-17:25 (F)",Snehil Dua
HNSC 2160,B02 (10834),Principles of Food Preparation and Preservation (0),M,"Sep 03 - Dec 08, 14:00-16:55 (R)",Snehil Dua
HNSC 2160,A01 (10833),Principles of Food Preparation and Preservation (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",Snehil Dua
HNSC 2170,A01 (13938),Nutrition for Health Professionals (2),OC,Sep 03 - Nov 07,Aikaterini Petroulakis
HNSC 3220,A01 (19305),Food and Nutrition Literacy Education (3),M,"Sep 03 - Dec 08, 08:30-09:45 (TR)",. Jaspreet Kaur
HNSC 3310,A01 (10841),Macronutrients and Human Health (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Dylan Mackay
HNSC 3342,A01 (11112),Management for Food and Nutrition Professionals (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Kristen Fleet
HNSC 3350,A01 (10845),Culture and Food Patterns (3),M,"Sep 03 - Dec 08, 14:30-15:45 (TR)",Kristen Fleet
HNSC 3400,B01 (19310),Nutrition Assessment and Counselling (0),M,"Sep 03 - Dec 08, 14:30-17:25 (W)",Semone Myrie
HNSC 3400,A01 (19309),Nutrition Assessment and Counselling (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",Semone Myrie
HNSC 3400,B02 (19311),Nutrition Assessment and Counselling (0),M,"Sep 03 - Dec 08, 14:30-17:25 (M)",Semone Myrie
HNSC 4100,A02 (20407),Current Issues in Food and Human Nutrition (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Liyana Nimalaratne
HNSC 4100,A01 (20406),Current Issues in Food and Human Nutrition (3),M,"Sep 03 - Dec 08, 12:00-13:15 (MW)",Liyana Nimalaratne
HNSC 4122,A01 (16210),Research Project in Human Nutritional Sciences (Part A) (3),M,Sep 03 - Dec 08,Cristina Rosell
HNSC 4290,A01 (12687),"Food, Nutrition and Health Policies (3)",M,"Sep 03 - Dec 08, 13:30-16:15 (W)",Natalie Riediger
HNSC 4350,A01 (26206),Nutrition in Exercise and Sport (3),M,"Sep 03 - Dec 08, 13:00-14:15 (TR)",Semone Myrie
HNSC 4362,A01 (11191),Nutrition Option Practicum (Part A) (3),M,Sep 03 - Dec 08,Cristina Rosell
HNSC 4364,A01 (19574),Foods Industry Option Practicum (3),M,Sep 03 - Dec 08,Cristina Rosell
HNSC 4540,A01 (20405),Functional Foods and Nutraceuticals (3),M,"Sep 03 - Dec 08, 17:30-19:45 (T)",Sepideh Mahboobishoorjeh
HNSC 7110,T05 (23293),Method Café (3),M,"Sep 03 - Dec 08, 17:00-20:00 (W)",Miyoung Suh
HNSC 7110,T07 (26416),Evaluating human evidence in Nutrition: Epidemiology and Clinical Trials to Guidelines (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Dylan Mackay
HNSC 7700,A01 (24265),Applied Human Nutrition Practicum 1 (6),M,Sep 08 - Dec 19,Jessica Rutherford
HNSC 7730,A01 (24266),Advanced Applied Human Nutrition 1 (3),M,"Sep 15 - Dec 19, 09:00-12:00 (M)",Jessica Rutherford
HNSC 7750,A01 (25390),Advanced Applied Human Nutrition 3 (3),M,"Sep 15 - Dec 19, 13:00-16:00 (M)",Jessica Rutherford
AGEC 2370,A01 (10896),Principles of Ecology (3),M,"Sep 03 - Dec 08, 13:00-14:15 (TR)",Shayla Woodland
AGEC 2370,B03 (12168),Principles of Ecology (0),M,"Sep 03 - Dec 08, 14:30-17:25 (F)",Shayla Woodland
AGEC 2370,B02 (10898),Principles of Ecology (0),M,"Sep 03 - Dec 08, 14:30-17:25 (W)",Shayla Woodland
AGEC 2370,B01 (10897),Principles of Ecology (0),M,"Sep 03 - Dec 08, 14:30-17:25 (T)",Shayla Woodland
AGRI 1600,B03 (20484),Introduction to Agrifood Systems (0),M,"Sep 03 - Dec 08, 14:30-17:15 (W)",Mario Tenuta
AGRI 1600,B02 (20482),Introduction to Agrifood Systems (0),M,"Sep 03 - Dec 08, 14:30-17:15 (T)",Mario Tenuta
AGRI 1600,B01 (20481),Introduction to Agrifood Systems (0),M,"Sep 03 - Dec 08, 14:30-17:15 (M)",Mario Tenuta
AGRI 1600,B05 (20486),Introduction to Agrifood Systems (0),M,"Sep 03 - Dec 08, 14:30-17:15 (F)",Mario Tenuta
AGRI 1600,B04 (20485),Introduction to Agrifood Systems (0),M,"Sep 03 - Dec 08, 14:30-17:15 (R)",Mario Tenuta
AGRI 1600,K01 (20261),Introduction to Agrifood Systems (3),M,"Sep 03 - Dec 08, 08:30-09:45 (TR)",Mario Tenuta
AGRI 2002,K01 (18165),Agricultural and Food Sciences Co-operative Education Work Term 1 (3),WKT,Sep 03 - Dec 08,Michel Aliani
AGRI 2030,A02 (12553),Technical Communications (3),M,"Sep 03 - Dec 08, 11:30-12:45 (T)",Adedunni Adigun
AGRI 2030,A03 (15494),Technical Communications (3),M,"Sep 03 - Dec 08, 13:00-14:15 (R)",Stephen Hayes
AGRI 2030,A01 (12552),Technical Communications (3),M,"Sep 03 - Dec 08, 10:00-11:15 (R)",Kelly Funke
AGRI 2030,A01 (12552),Technical Communications (3),M,"Sep 03 - Dec 08, 10:00-11:15 (T)",Kelly Funke
AGRI 2030,A02 (12553),Technical Communications (3),M,"Sep 03 - Dec 08, 11:30-12:45 (R)",Adedunni Adigun
AGRI 2030,A03 (15494),Technical Communications (3),M,"Sep 03 - Dec 08, 13:00-14:15 (T)",Stephen Hayes
AGRI 2400,B03 (22109),Experimental Methods in Agricultural and Food Sciences (0),M,"Sep 03 - Dec 08, 14:30-17:25 (F)",Jordan Bannerman
AGRI 2400,B01 (20397),Experimental Methods in Agricultural and Food Sciences (0),M,"Sep 03 - Dec 08, 14:30-17:25 (R)",Jordan Bannerman
AGRI 2400,A01 (20396),Experimental Methods in Agricultural and Food Sciences (3),M,"Sep 03 - Dec 08, 08:30-09:20 (MWF)",Jordan Bannerman
AGRI 2400,B02 (20487),Experimental Methods in Agricultural and Food Sciences (0),M,"Sep 03 - Dec 08, 17:45-20:40 (R)",Jordan Bannerman
AGRI 3002,K01 (18166),Agricultural and Food Sciences Co-operative Education Work Term 2 (3),WKT,Sep 03 - Dec 08,Michel Aliani
AGRI 3100,A01 (24218),Introduction to Digital Agriculture (3),M,"Sep 03 - Dec 08, 14:30-16:00 (T)",Nasem Badreldin
AGRI 3100,A01 (24218),Introduction to Digital Agriculture (3),M,"Sep 03 - Dec 08, 16:15-17:30 (T)",Nasem Badreldin
AGRI 3500,K01 (26215),Geographical Information Systems (GIS) Applications in Agriculture (3),M,"Sep 03 - Dec 08, 14:30-17:20 (W)",Marcos Cordeiro
AGRI 4002,K01 (18167),Agricultural and Food Sciences Co-operative Education Work Term 3 (3),WKT,Sep 03 - Dec 08,Michel Aliani
AGRI 4100,A01 (20499),Current Issues in Agricultural Systems (3),M,"Sep 03 - Dec 08, 14:30-17:25 (T)",Claudio Stasolla
AGRI 4100,A02 (23922),Current Issues in Agricultural Systems (3),M,"Sep 03 - Dec 08, 14:30-17:25 (T)",Derek Brewin
PLNT 1000,A01 (24695),Urban Agriculture (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Yvonne Lawley
PLNT 2500,B04 (22802),Crop Production (0),M,"Sep 03 - Dec 08, 14:30-17:15 (R)",Yvonne Lawley
PLNT 2500,B03 (22801),Crop Production (0),M,"Sep 03 - Dec 08, 14:30-17:15 (W)",Yvonne Lawley
PLNT 2500,B02 (22800),Crop Production (0),M,"Sep 03 - Dec 08, 14:30-17:15 (T)",Yvonne Lawley
PLNT 2500,B01 (22799),Crop Production (0),M,"Sep 03 - Dec 08, 14:30-17:15 (M)",Yvonne Lawley
PLNT 2500,A01 (22798),Crop Production (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Yvonne Lawley
PLNT 2510,A01 (26190),Fundamentals of Horticulture (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",Fouad Daayf
PLNT 2510,A01 (26190),Fundamentals of Horticulture (3),M,"Sep 03 - Dec 08, 14:30-17:25 (W)",Fouad Daayf
PLNT 2520,B02 (10925),Genetics (0),M,"Sep 03 - Dec 08, 14:30-17:15 (R)",Harmeet Chawla
PLNT 2520,A01 (10923),Genetics (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",Harmeet Chawla
PLNT 2520,B01 (10924),Genetics (0),M,"Sep 03 - Dec 08, 14:30-17:15 (T)",Harmeet Chawla
PLNT 3140,B03 (10929),Introductory Cytogenetics (0),M,"Sep 03 - Dec 08, 14:30-17:25 (W)",Brian Fristensky
PLNT 3140,B02 (10928),Introductory Cytogenetics (0),M,"Sep 03 - Dec 08, 14:30-17:25 (T)",Brian Fristensky
PLNT 3140,B01 (10927),Introductory Cytogenetics (0),M,"Sep 03 - Dec 08, 14:30-17:25 (M)",Brian Fristensky
PLNT 3140,A01 (10926),Introductory Cytogenetics (3),M,"Sep 03 - Dec 08, 13:00-14:15 (TR)",Brian Fristensky
PLNT 3400,A01 (12557),Plant Physiology (3),M,"Sep 03 - Dec 08, 12:30-13:20 (MWF)",Claudio Stasolla
PLNT 3400,B01 (12558),Plant Physiology (0),M,"Sep 03 - Dec 08, 14:30-17:15 (M)",Claudio Stasolla
PLNT 3400,B02 (12559),Plant Physiology (0),M,"Sep 03 - Dec 08, 14:30-17:15 (T)",Claudio Stasolla
PLNT 3520,A01 (10932),Principles of Plant Improvement (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Robert Duncan
PLNT 3520,A01 (10932),Principles of Plant Improvement (3),M,"Sep 03 - Dec 08, 14:30-17:25 (R)",Robert Duncan
PLNT 3570,A01 (26188),Fundamentals of Plant Pathology (3),M,"Sep 03 - Dec 08, 10:00-11:20 (TR)",Mohammad Sayari
PLNT 4270,A01 (10933),Plant Disease Control (3),M,"Sep 03 - Dec 08, 11:30-12:45 (T)",Malini Jayawardana
PLNT 4270,A01 (10933),Plant Disease Control (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Malini Jayawardana
PLNT 4330,A01 (10935),Intermediate Plant Genetics (3),M,"Sep 03 - Dec 08, 14:30-15:20 (F)",Curt McCartney
PLNT 4330,A01 (10935),Intermediate Plant Genetics (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Curt McCartney
PLNT 4610,A01 (11533),Bioinformatics (3),M,"Sep 03 - Dec 08, 08:30-09:45 (TR)",Brian Fristensky
PLNT 7250,A01 (10969),Plant Science Seminar (Part A) (1.5),M,"Sep 03 - Dec 08, 13:00-14:15 (TR)",Belay Ayele
PLNT 7420,A01 (10987),Advanced Plant Science Seminar (Part A) (1.5),M,"Sep 25 - Dec 23, 14:30-16:45 (R)",Robert Gulden
PLNT 7620,T06 (25792),Natural Systems Agriculture (3),M,"Sep 17 - Dec 10, 10:00-12:00 (W)",Martin Entz
PLNT 7620,T07 (26626),"Current issues and the Science in Cropping Systems, Weed Science, and Plant Ecology (3)",M,"Sep 03 - Dec 08, 10:00-11:30 (TR)",Dilshan De Silva Benaragama
PLNT 7690,A01 (14789),Bioinformatics (3),M,"Sep 03 - Dec 08, 08:30-09:45 (TR)",Brian Fristensky
SOIL 3060,A01 (10811),Introduction to Agrometeorology (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",Henrique Carvalho
SOIL 3600,B01 (10813),Soils and Landscapes in Our Environment (0),M,"Sep 03 - Dec 08, 14:30-17:25 (M)",Afua Mante
SOIL 3600,B02 (10814),Soils and Landscapes in Our Environment (0),M,"Sep 03 - Dec 08, 14:30-17:25 (W)",Afua Mante
SOIL 3600,B03 (24732),Soils and Landscapes in Our Environment (0),M,"Sep 03 - Dec 08, 14:30-17:25 (F)",Afua Mante
SOIL 3600,K01 (10812),Soils and Landscapes in Our Environment (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Afua Mante
SOIL 4130,A01 (18109),Soil Chemistry and Mineralogy (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Inoka Amarakoon Mudiyanselage
