COURSE,SECTION (CRN),TITLE (CREDIT HOURS),CAMPUS,COURSE TIME,INSTRUCTOR
EVDS 2300,A01 (51306),Materials and Assemblies (3),M,"Jan 06 - Apr 09, 14:30-17:15 (T)",Mark Meagher
EVDS 2800,A01 (51256),Visual Media 2 (3),M,"Jan 06 - Apr 09, 14:30-17:15 (W)",Kimberly Wiese
EVDS 2900,A01 (51284),Design Studio 2 (6),M,"Jan 06 - Apr 09, 08:30-12:20 (MWF)",Jae-Sung Chon
EVDS 3900,K01 (62849),Cooperative Education/Integrated Work Term 2 (1),WKT,Jan 06 - Apr 09,TBA
EVDS 4800,K01 (57959),Cooperative Education/Integrated Work Term 3 (1),WKT,Jan 06 - Apr 09,TBA
EVIE 3010,A01 (51272),ID Studio 3.2 (6),M,"Jan 06 - Apr 09, 13:30-16:15 (TR)",Kurt Espersen-Peters
EVIE 3010,A01 (51272),ID Studio 3.2 (6),M,"Jan 06 - Apr 09, 08:30-11:15 (TR)",Kurt Espersen-Peters
EVIE 3012,A01 (51273),Interior Light and Colour (3),M,"Jan 06 - Apr 09, 14:30-17:15 (M)",TBA
EVIE 4000,A01 (52661),Interior Design History and Theory 2 (3),M,"Jan 06 - Apr 09, 11:30-14:15 (W)",Kelley Beaverford
EVIE 4002,A01 (60536),Indoor Systems 1 (3),M,"Jan 06 - Apr 09, 08:30-11:15 (F)",Umidjon Abdullaev
EVIE 4006,A01 (52192),Design Methods and Processes (3),M,"Jan 06 - Apr 09, 08:30-11:15 (W)",Cynthia Karpan
EVIE 4008,D01 (58077),Digital Media (AutoCAD) (3),DE,Jan 06 - Apr 09,TBA
EVIE 4012,A01 (51435),ID Studio 4.2 (6),M,"Jan 06 - Apr 09, 13:30-16:15 (TR)",Jason Shields
EVIE 4012,A01 (51435),ID Studio 4.2 (6),M,"Jan 06 - Apr 09, 08:30-11:15 (TR)",Jason Shields
EVIE 4014,D01 (58192),Advanced Interior Design Media (3),DE,Jan 06 - Apr 09,TBA
EVLU 3000,A01 (59935),History of Designed Environments (3),M,"Jan 06 - Apr 09, 11:30-14:15 (M)",TBA
EVLU 3008,A01 (51270),Studio 4 (9),M,"Jan 06 - Jan 12, 13:15-16:00 ()",Brenda Brown
EVLU 3008,A01 (51270),Studio 4 (9),M,"Jan 06 - Apr 09, 08:30-11:15 (TR)",Brenda Brown
